station_co,district_n,x,y
1767,3,565085.56,3614419.69
1768,3,565032.41,3614085.76
1769,3,565077.59,3613457.35
1770,3,565100.55,3613145.32
1771,3,565065.04,3612795.43
1772,3,565005.25,3612573.09
1773,3,564930.24,3612410.08
1774,3,564839.58,3612203.5
1775,3,564731.91,3611899.37
1776,3,564653.4,3611582.13
2394,3,565106.39,3611619.56
4091,3,564269.52,3614741.99
1096,4,565820.33,3612879.1
1097,4,565806.89,3612883.45
1098,4,567773.44,3613407.71
1115,4,565414.1,3612413.02
1127,4,567219.15,3611633.81
1128,4,567488.1,3611408.47
1464,4,565920.96,3612284.99
1466,4,571142.15,3608589.81
1467,4,565865.22,3612288.5
1470,4,572026.01,3608501.59
1471,4,572234.7,3608760.08
1472,4,572374.42,3608978.49
1473,4,572220.85,3608754.88
1474,4,572011.72,3608505.03
1475,4,571907.49,3608281.22
1652,4,578199.08,3612778.36
1653,4,578363.02,3612624.22
1654,4,578548.05,3612449.07
1655,4,578822.42,3612067.86
1656,4,578951.12,3611842.38
1657,4,579056.75,3611664.06
1658,4,579181.6,3611451.63
1659,4,579354.86,3611109.77
1660,4,578778.42,3610977.93
1661,4,578603.6,3611162.02
1662,4,578494.24,3611707.17
1663,4,578319.08,3611807.24
1664,4,578053.68,3612157.71
